,E2F1-h,E2F2-h,E2F3-h,E2F4-h,E2F5-h,E2F6-h,E2F7-h,E2F8-h,,,,E2F1-s,E2F2-s,E2F3-s,E2F4-s,E2F5-s,E2F6-s,E2F7-s,E2F8-s
GTEX-ZUA1-0008-SM-4YCEW,7.8057,6.1694,10.1587,11.1253,7.2216,9.0958,7.1031,5.932,,,TCGA-EB-A82B-01,11.9519,9.7443,10.5783,10.8273,5.9036,10.4261,9.7835,6.0547
GTEX-T2YK-0008-SM-4DM6M,9.2683,6.353,10.0077,11.2918,6.697,9.1807,10.2964,6.8076,,,TCGA-EB-A3Y6-01,10.2299,8.0171,11.1621,10.842,9.2034,9.8476,7.8233,6.3808
GTEX-ZE9C-0008-SM-4E3K6,6.5885,4.1813,10.1108,11.4235,7.7655,9.5228,7.8126,4.9041,,,TCGA-EB-A4XL-01,9.8173,8.1668,9.5425,10.8276,8.4829,9.8126,8.1111,6.462
GTEX-11WQC-0008-SM-5SI6R,6.3711,5.1718,9.6249,10.964,7.4793,9.0567,4.8006,4.0168,,,TCGA-XV-AAZV-01,10.1501,7.6578,9.7006,11.5085,8.1635,8.761,7.4084,6.4169
GTEX-SNMC-0008-SM-4DM5A,4.7949,2.7169,9.7715,11.9815,7.4446,9.7719,6.4405,1.6915,,,TCGA-FR-A728-01,10.5511,8.8071,10.6772,11.4995,9.0662,10.1324,9.0606,7.4419
GTEX-WOFL-0008-SM-4OOSZ,7.0661,5.2143,9.8944,11.3066,7.1826,8.8569,7.0484,5.2767,,,TCGA-EB-A3XD-01,9.627,9.5354,10.198,11.3554,6.0099,9.2853,6.859,5.8956
GTEX-QXCU-0008-SM-48FCH,9.4743,8.4858,10.1134,11.4388,7.0945,9.1026,9.2494,8.3568,,,TCGA-FR-A2OS-01,9.6518,9.0471,11.0833,11.7809,10.1396,10.1229,7.8131,7.5918
GTEX-Y111-0008-SM-4SOJ3,6.9701,4.4956,9.4461,10.8979,6.4369,8.7101,5.3505,3.8346,,,TCGA-EB-A5UM-01,10.045,7.3952,11.3899,11.7352,8.3534,9.4832,7.8507,6.2013
GTEX-YJ89-0008-SM-4RGM4,8.0981,6.2215,10.1156,11.037,7.203,9.1328,7.6393,6.4068,,,TCGA-BF-A1PU-01,11.4881,8.4664,10.5268,11.3868,8.0371,8.6943,9.0567,5.0794
GTEX-ZQUD-0008-SM-4YCCU,9.5888,8.0999,10.1497,11.4079,6.5189,9.1215,9.1878,8.1225,,,TCGA-EB-A4IQ-01,11.3442,9.7879,11.0461,11.3725,7.1582,9.8388,7.6111,6.7452
GTEX-11P82-0008-SM-5S2MS,5.0377,3.538,9.5039,11.3053,8.0404,9.4495,6.7147,2.6572,,,TCGA-EB-A4OZ-01,9.6262,9.3181,9.0317,11.3654,6.306,9.5298,7.2811,5.8697
GTEX-PVOW-0008-SM-48TE8,4.0813,1.7116,9.725,11.905,7.362,9.6867,6.4317,1.0961,,,TCGA-BF-A3DJ-01,9.801,8.2377,10.0956,11.0915,9.0002,9.8897,8.0441,7.1287
GTEX-QMR6-0008-SM-447AV,5.6144,1.1998,9.557,11.6431,7.1827,9.3333,7.5628,1.1998,,,TCGA-DA-A95Z-06,11.6932,9.001,10.5574,11.5122,8.3551,9.6023,9.3242,7.5041
