,E2F1-h,E2F2-h,E2F3-h,E2F4-h,E2F5-h,E2F6-h,E2F7-h,E2F8-h,,,,E2F1-s,E2F2-s,E2F3-s,E2F4-s,E2F5-s,E2F6-s,E2F7-s,E2F8-s
GTEX-11ILO-1526-SM-5A5KZ,5.6155,4.5881,7.7559,11.408,9.632,9.2864,4.898,0,,,TCGA-3A-A9I7-01,8.3705,7.4427,9.482,11.1319,8.1637,9.1273,7.04,7.1917
GTEX-ZYWO-1326-SM-5SI8X,4.4226,2.7173,6.1995,10.7233,9.0222,9.0819,2.7173,1.5154,,,TCGA-2J-AABO-01,7.7736,6.3316,9.2303,11.2336,7.9452,9.2536,7.2778,6.3748
GTEX-Y3IK-0426-SM-4WWE2,6.2275,4.8195,8.7185,11.3562,8.9175,8.8029,4.4855,4.05,,,TCGA-RB-AA9M-01,8.5116,6.0476,9.7374,10.8946,8.1607,9.2121,7.0674,6.7155
GTEX-WYVS-0926-SM-4SOJV,4.0588,1.8524,7.0678,10.6263,9.0471,8.655,3.5165,1.8524,,,TCGA-IB-7647-01,8.8167,7.7726,9.5544,11.1401,8.8422,9.8239,7.5488,8.3969
GTEX-R53T-0426-SM-48FEM,6.6154,5.0288,7.3149,11.0636,9.1754,9.2692,5.3605,3.2386,,,TCGA-3A-A9IX-01,7.3422,6.2561,9.7688,10.8627,8.6167,9.1778,5.8795,6.2061
GTEX-132AR-1826-SM-5EGHR,5.3389,1.6749,7.3895,11.2589,9.0398,8.7436,5.5562,3.5807,,,TCGA-IB-AAUU-01,8.442,6.5816,9.5585,11.6958,8.3498,9.3062,5.3197,7.3192
GTEX-ZTPG-1026-SM-5DUWP,4.4193,2.1373,7.2824,11.2904,8.8037,9.0988,2.6086,0,,,TCGA-H6-A45N-01,8.0537,6.39,9.3623,11.1103,7.9506,8.6538,6.177,6.266
GTEX-QCQG-0426-SM-48U29,5.3671,4.1906,7.7789,10.754,8.2543,8.7372,4.1906,3.4044,,,TCGA-IB-7889-01,7.9335,6.311,8.8046,10.9517,8.4809,9.108,5.0935,5.7001
GTEX-13X6H-0626-SM-5LU53,3.9843,2.1026,7.9062,10.6898,8.5871,8.7896,5.1537,0,,,TCGA-HZ-8638-01,8.7291,8.1503,8.9521,10.8136,8.5648,9.1807,7.7076,8.7415
GTEX-S32W-0826-SM-4AD5Z,5.5665,3.0742,6.9261,11.1007,9.1037,9.1261,4.1457,3.6009,,,TCGA-IB-AAUS-01,7.9556,6.1535,9.8084,11.2685,7.4978,9.1612,5.7016,6.1535
GTEX-ZYY3-0826-SM-5E44R,6.6147,4.5906,7.4824,11.2607,9.2286,9.129,3.8931,2.987,,,TCGA-FB-AAQ2-01,10.0542,7.9738,9.1335,11.2648,9.1303,9.2357,7.4718,7.9099
GTEX-13D11-2226-SM-5IFEO,5.0796,3.5062,7.2075,10.9997,8.4969,9.3452,3.2684,2.1552,,,TCGA-RB-A7B8-01,8.3267,6.4999,9.7417,11.1227,7.7238,8.7741,6.4685,6.742
GTEX-OHPL-1026-SM-3MJGI,5.8172,3.3548,7.4626,11.022,8.231,9.2312,5.462,0,,,TCGA-US-A77J-01,8.9087,8.0033,9.159,11.2575,8.3537,9.1344,4.9421,6.582
GTEX-14AS3-0326-SM-5Q5DB,2.8632,1.6286,7.0979,11.0684,8.844,9.1174,4.1486,2.8632,,,TCGA-F2-A44G-01,8.8196,6.6043,9.6275,11.0571,8.1596,8.7921,6.4441,7.6158
