samples,E2F1-s,E2F2-s,E2F3-s,E2F4-s,E2F5-s,E2F6-s,E2F7-s,E2F8-s,,,samples,E2F1-h,E2F2-h,E2F3-h,E2F4-h,E2F5-h,E2F6-h,E2F7-h,E2F8-h
TCGA-W4-A7U2-01,11.8171,10.0209,10.6453,12.8516,9.6621,10.8452,10.6365,8.2115,,,GTEX-145MO-0126-SM-5S2QU,10.0113,9.6992,9.0847,11.7766,9.4112,9.6258,9.5064,7.6166
TCGA-W4-A7U3-01,10.2784,9.1084,10.0127,11.995,9.5963,10.2268,9.394,8.5172,,,GTEX-PW2O-1426-SM-48TCD,9.5136,9.9298,8.8654,11.6886,9.0795,9.6493,9.8057,6.9052
TCGA-YU-A90S-01,9.8781,9.122,9.8322,11.4458,7.4058,9.7832,7.353,6.6315,,,GTEX-WHSB-2126-SM-4M1XF,9.6121,9.7758,9.3787,11.4152,9.395,10.0765,9.408,7.7782
TCGA-2G-AAG9-01,10.8151,10.1591,10.2162,12.1137,8.7311,10.6193,9.8209,8.0729,,,GTEX-R55E-0726-SM-48FCZ,10.085,9.2824,9.4349,11.8453,9.0642,9.8799,7.3151,7.7533
TCGA-2G-AAHG-01,11.0774,10.4015,10.6472,12.4108,9.8307,10.7423,8.9752,7.6246,,,GTEX-11P7K-1026-SM-5HL6Y,9.4634,9.1273,9.5083,11.7203,9.0928,10.129,8.3146,7.0067
TCGA-YU-A90P-01,11.6163,9.7374,10.9169,12.7251,9.3018,10.2349,10.2633,7.5999,,,GTEX-Q2AI-1226-SM-48U14,9.9771,10.2504,9.1554,12.0901,9.152,9.7089,9.9722,7.7111
TCGA-2G-AAFY-01,10.7811,9.1317,11.2189,12.1481,9.7916,9.9749,9.4894,7.3862,,,GTEX-X3Y1-2626-SM-4PQZI,10.0164,10.0947,9.1966,12.0133,9.2225,9.6078,8.9264,7.0234
TCGA-2G-AAG6-01,9.1452,7.7485,9.3611,11.4594,8.6512,9.4523,8.0265,7.2218,,,GTEX-P4QR-0226-SM-3NMCH,9.4754,8.7783,9.0563,11.8058,9.3328,9.9915,7.5513,6.0688
TCGA-XE-A8H1-01,11.0518,9.4016,10.9428,12.4514,9.7899,10.1126,10.4184,8.0841,,,GTEX-145LT-0426-SM-5LUAP,10.0479,9.5668,9.2024,11.6986,8.9914,9.6788,9.5635,7.7642
TCGA-XE-AAOJ-01,10.2408,8.9703,10.3676,10.9181,10.1618,9.7168,9.3444,8.4904,,,GTEX-117YW-1526-SM-5EGGP,10.2685,9.6515,9.3517,11.8928,8.7672,9.3729,10.1111,7.8486
TCGA-XY-A8S3-01,10.7129,8.9275,10.8658,12.4967,9.6905,10.8645,10.0734,8.8756,,,GTEX-T5JC-0726-SM-4DM55,10.3198,10.0261,8.5862,11.7649,9.4998,10.1282,9.909,6.9039
TCGA-2G-AAFJ-01,10.2791,9.7866,10.1355,11.0978,9.5442,10.9084,9.9648,8.6198,,,GTEX-S3XE-1526-SM-4AD5A,10.4758,9.7736,9.0847,12.0233,8.976,10.0754,8.9618,7.2381
TCGA-2G-AAG0-01,11.5908,9.6318,11.1761,12.595,9.4944,9.9978,10.0731,8.506,,,GTEX-13FTW-1326-SM-5LZZD,10.7352,10.0582,9.3623,11.8784,9.0202,10.2332,9.2291,7.2566
TCGA-2G-AAGV-01,8.5983,8.3906,9.0273,11.0949,8.388,9.4088,6.6199,5.6482,,,GTEX-RWSA-2426-SM-47JXR,10.1083,9.6824,9.3662,11.931,8.6308,9.9064,8.1715,7.3154
TCGA-W4-A7U4-01,11.1861,9.274,11.1066,12.3958,10.1665,10.1269,10.2023,8.3392,,,GTEX-Y9LG-1726-SM-4VBQE,10.2732,8.9742,9.3286,12.0517,9.3656,10.484,7.9531,6.7679
TCGA-XE-A8H4-01,11.2557,10.474,9.9672,12.3426,8.8402,10.7635,8.8307,7.6787,,,GTEX-U8XE-0126-SM-4E3I3,9.9672,9.6593,9.3078,12.123,9.1807,9.8181,8.1004,7.2023
